Approved symbol	Alias symbol	Previous symbol	NCBI gene ID
ACVR1	ACVR1A	ACVRLK2	90
ACVR1B	ALK4	ACVRLK4	91
ACVR1B	SKR2	ACVRLK4	91
ACVR1B	ActRIB	ACVRLK4	91
ACVR1C	ALK7		130399
ACVR1C	ACVRLK7		130399
ACVR2A	ACTRII	ACVR2	92
ACVR2B	ActR-IIB		93
ACVR2B-AS1			100128640
ACVRL1	HHT2	ACVRLK1	94
ACVRL1	HHT2	ORW2	94
ACVRL1	ALK1	ACVRLK1	94
ACVRL1	ALK1	ORW2	94
ACVRL1	HHT	ACVRLK1	94
ACVRL1	HHT	ORW2	94
ACY1			95
ACY3	HCBP1		91703
ACY3	MGC9740		91703
ACY3	ACY-3		91703
ACYP1			97
ACYP2			98
AD5			
ADA	ADA1		100
ADA2	ADGF	IDGFL	51816
ADA2	ADGF	CECR1	51816
ADAD1	Tenr		132612
ADAD1P1			100422386
ADAD1P2			100422407
ADAD2	TENRL		161931
ADAD2	FLJ00337		161931
ADAL			161823
ADAM1A	FTNAP	ADAM1	8759
ADAM1A	PH-30a	ADAM1	8759
ADAM1A	Ftna	ADAM1	8759
ADAM1A	ADAM1P	ADAM1	8759
ADAM1B			100420505
ADAM2	PH-30b	FTNB	2515
ADAM2	PH30	FTNB	2515
ADAM2	CT15	FTNB	2515
ADAM3A	ADAM3	CYRN1	1587
ADAM3A	tMDCI	CYRN1	1587
ADAM3B		CYRN2	1596
ADAM5	tMDCII	ADAM5P	255926
ADAM6	tMDCIV	C14orf96	8755
ADAM7	GP-83		8756
ADAM7	EAPI		8756
ADAM8	CD156		101
ADAM8	MS2		101
ADAM8	CD156A		101
ADAM9	MDC9	CORD9	8754
ADAM9	KIAA0021	CORD9	8754
ADAM9	MCMP	CORD9	8754
ADAM9	Mltng	CORD9	8754
ADAM10	kuz		102
ADAM10	MADM		102
ADAM10	HsT18717		102
ADAM10	CD156C		102
ADAM11		MDC	4185
ADAM12	MCMPMltna		8038
ADAM12	MLTN		8038
ADAM12-OT1	CAR10		
ADAM12-OT1	FLJ31066		
ADAM15	MDC15		8751
ADAM17	cSVP	TACE	6868
ADAM17	CD156B	TACE	6868
ADAM18	tMDCIII		8749
ADAM18	ADAM27		8749
ADAM19	MLTNB		8728
ADAM20			8748
ADAM20P1		C14orf55	317760
ADAM20P2			100533671
ADAM20P3			644325
ADAM21	ADAM31		8747
ADAM21P1		ADAM21P	145241
ADAM22	MDC2		53616
ADAM23	MDC3		8745
ADAM24P			646479
ADAM28	eMDCII		10863
ADAM28	MDC-Lm		10863
ADAM28	MDC-Ls		10863
ADAM28	ADAM23		10863
ADAM29	svph1		11086
ADAM29	CT73		11086
ADAM30	svph4		11085
ADAM32			203102
ADAM33	DKFZp434K0521	C20orf153	80332
ADAM33	dJ964F7.1	C20orf153	80332
ADAMDEC1	M12.219		27299
ADAMTS1	C3-C5		9510
ADAMTS1	METH1		9510
ADAMTS1	KIAA1346		9510
ADAMTS2	ADAMTS-3		9509
ADAMTS2	hPCPNI		9509
ADAMTS2	PCINP		9509
ADAMTS2	ADAM-TS2		9509
ADAMTS2	NPI		9509
ADAMTS3	KIAA0366		9508
ADAMTS3	ADAMTS-4		9508
ADAMTS4	KIAA0688		9507
ADAMTS4	ADAMTS-2		9507
ADAMTS4	ADMP-1		9507
ADAMTS5	ADMP-2		11096
ADAMTS5	ADAMTS11		11096
ADAMTS6	ADAM-TS6		11174
ADAMTS7	ADAM-TS7		11173
ADAMTS7	DKFZp434H204		11173
ADAMTS7P1		ADAMTS7P2	390660
ADAMTS7P3			400406
ADAMTS7P4			642935
ADAMTS8	METH2		11095
ADAMTS8	FLJ41712		11095
ADAMTS8	ADAM-TS8		11095
ADAMTS9	KIAA1312		56999
ADAMTS9-AS1			101929335
ADAMTS9-AS2			100507098
ADAMTS10	ADAM-TS10		81794
ADAMTS12			81792
ADAMTS13	VWFCP	C9orf8	11093
ADAMTS13	TTP	C9orf8	11093
ADAMTS13	vWF-CP	C9orf8	11093
ADAMTS13	FLJ42993	C9orf8	11093
ADAMTS13	MGC118899	C9orf8	11093
ADAMTS13	MGC118900	C9orf8	11093
ADAMTS13	DKFZp434C2322	C9orf8	11093
ADAMTS14			140766
ADAMTS15			170689
ADAMTS16	ADAMTS16s		170690
ADAMTS17	FLJ32769		170691
ADAMTS17	FLJ16363		170691
ADAMTS18		ADAMTS21	170692
ADAMTS19			171019
ADAMTS19-AS1	RP11-346A9.1		103689846
